[INFO] 2025-09-06 13:21:10,310 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\views.py changed, reloading.
[INFO] 2025-09-06 13:21:10,826 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:21:37,827 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:21:39,821 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:21:40,536 | django.server | log_message:213 | "GET / HTTP/1.1" 200 26296
[INFO] 2025-09-06 13:21:42,536 | django.server | log_message:213 | "GET /generate-report/ HTTP/1.1" 200 24719
[INFO] 2025-09-06 13:21:42,817 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:21:43,416 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:21:55,053 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:21:55,509 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:22:09,176 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:22:09,654 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:24:20,496 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\models.py changed, reloading.
[INFO] 2025-09-06 13:24:21,020 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:25:31,337 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 13:25:31,757 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:25:37,577 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\urls.py changed, reloading.
[INFO] 2025-09-06 13:25:38,018 | django.utils.autoreload | run_with_reloader:667 | Watching for file changes with StatReloader
[INFO] 2025-09-06 13:27:23,712 | django.utils.autoreload | trigger_reload:265 | D:\MBProject\logs\auth_views.py changed, reloading.
